
SIZES,100,300,500,1000,2000,4000,
5000,4320,5066,76390,14730,2696,7982,
8000,136,277,556,1516,3481,6012,
10000,102,273,546,1389,2296,5895,

SIZES,100,300,500,1000,2000,4000,
5000,70802,93364,170729,111567,374569,386540,
8000,22040,33948,66589,110703,173402,358458,
10000,6768,19694,29973,55486,98937,805814,

SIZES,100,300,500,1000,2000,4000,
5000,622889,90326,140838,98265,166277,344097,
8000,22922,42461,69617,100381,220662,318415,
10000,9142,17066,29588,36205,71879,677853,

SIZES,100,300,500,1000,2000,4000,
5000,52180,63244,67364,181989,178161,387115,
8000,15057,44017,55608,65662,154497,345409,
10000,11678,29739,35440,80969,120944,184734,
